file,has_external_call,updates_state,is_payable,has_reentrancy_guard,has_loop,has_array_ops,has_selfdestruct,has_tx_origin,has_unchecked_call,has_overflow_risk,has_block_dependency,has_delegatecall,has_msg_value,has_fallback,label
40406.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
31418.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
746.sol,1,1,1,0,1,1,1,0,0,0,0,0,1,1,1
33902.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1690.sol,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
1403.sol,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
40589.sol,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
40481.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
33008.sol,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1
969.sol,1,1,1,0,1,1,0,1,0,0,1,0,1,1,1
44049.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
34388.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40500.sol,1,1,0,1,0,1,0,0,1,1,1,0,1,0,1
44992.sol,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1
35624.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40393.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
35988.sol,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1
32980.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
21287.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34577.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
33654.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35349.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35186.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38685.sol,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
33490.sol,1,1,1,0,1,0,0,0,1,1,0,0,1,1,1
34716.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32763.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34476.sol,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1
22823.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
37101.sol,1,1,1,0,0,1,0,0,1,0,1,0,1,0,1
39684.sol,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1
35308.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35144.sol,0,1,1,0,1,1,1,0,0,1,0,0,1,1,1
35656.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35547.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40458.sol,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
40046.sol,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1
40404.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
36741.sol,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
20215.sol,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1
34717.sol,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1
870.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
44065.sol,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1
33621.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39606.sol,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
33694.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39905.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
1421.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
34222.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33033.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40734.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33161.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
45032.sol,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1
44335.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
239.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36987.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
22799.sol,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1
32716.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35359.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36046.sol,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
20810.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
34084.sol,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
39903.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
31445.sol,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
38518.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
39957.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
43998.sol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1731.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
36321.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24158.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
44153.sol,1,1,1,1,0,1,0,0,1,0,1,0,1,0,1
33102.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33864.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35581.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
33903.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33794.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39398.sol,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
40736.sol,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1
36831.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39908.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
39176.sol,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1
39790.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32137.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24822.sol,1,1,1,0,0,0,1,0,0,0,0,0,1,0,1
33838.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
43948.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
33420.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33890.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32659.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
24456.sol,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1
34300.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
20891.sol,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1
32554.sol,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
34959.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35005.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
34474.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1347.sol,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1
39963.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
34692.sol,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1
38962.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
38676.sol,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
39907.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
40353.sol,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
33687.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32813.sol,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
39173.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
24624.sol,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1
32541.sol,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
1229.sol,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
38526.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
40405.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
37856.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
1634.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
24999.sol,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1
35718.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33878.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40460.sol,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
23776.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
37377.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
31574.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34186.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
37768.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
35565.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34397.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32139.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
38965.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
33413.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
35124.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
20821.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
36381.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33985.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39341.sol,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1
35421.sol,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1
33501.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
34694.sol,1,1,0,1,1,1,0,0,1,0,0,0,1,0,1
39394.sol,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
707.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
24648.sol,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1
36556.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
36532.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31737.sol,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1
183.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
1002.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
38310.sol,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
34202.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35009.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
80.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
31859.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1432.sol,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1
35249.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
38971.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
39644.sol,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
40205.sol,1,1,0,0,0,1,1,1,1,1,0,1,1,0,1
33946.sol,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
20048.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36714.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32151.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36423.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
34422.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
523.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
37112.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
24507.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
34986.sol,1,1,1,0,1,1,0,0,0,0,1,0,1,1,1
21741.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
32540.sol,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
34629.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39618.sol,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
39381.sol,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
43887.sol,1,1,0,0,1,1,0,0,0,1,0,0,0,0,1
32662.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34578.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39931.sol,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1
32095.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
33367.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33837.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33554.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39953.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
40398.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
32952.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
21027.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
43810.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
245.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
24520.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
21610.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34856.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36173.sol,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1
185.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36190.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34266.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
1468.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
39248.sol,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1
38571.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
21700.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
31691.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44546.sol,1,1,1,0,0,1,0,1,1,0,0,0,0,0,1
35320.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
40118.sol,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1
31374.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
40401.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
40748.sol,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1
32699.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
38573.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
34914.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34751.sol,1,1,1,0,0,0,1,0,0,1,0,0,1,1,1
88.sol,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1
37891.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
34336.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40242.sol,1,1,0,0,1,1,1,0,1,0,1,0,1,0,1
592.sol,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
33656.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32188.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
20815.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
20053.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
43088.sol,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1
36085.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39393.sol,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
34902.sol,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1
32864.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34749.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
31561.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35997.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
40462.sol,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
40732.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,1,1
43909.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
37741.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
31860.sol,1,1,0,0,1,0,0,0,1,1,1,0,1,0,1
32053.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32715.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
22810.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
32090.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
34689.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32671.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
40742.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
1751.sol,1,1,1,0,0,0,0,1,1,1,0,0,1,1,1
35264.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33979.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
33421.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32367.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33039.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33929.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
31914.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32538.sol,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1
32658.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38050.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
33131.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34421.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
35415.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34046.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
39199.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
31670.sol,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
39384.sol,1,1,1,0,1,1,1,0,0,1,0,0,1,1,1
40733.sol,1,1,1,0,0,0,1,0,1,0,0,0,1,1,1
32878.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
44333.sol,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
39019.sol,1,1,1,0,0,1,0,0,0,1,0,0,1,1,1
39906.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
40425.sol,1,1,0,0,0,1,0,0,0,1,0,0,1,0,1
923.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
37057.sol,1,1,1,1,0,0,1,0,0,0,1,0,1,1,1
35385.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34718.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38517.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
37782.sol,1,1,1,0,0,0,0,0,1,0,0,0,1,1,1
38664.sol,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1
39682.sol,1,1,1,0,1,1,0,0,0,1,1,0,1,1,1
43086.sol,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
32017.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
32717.sol,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1
32773.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38953.sol,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1
36739.sol,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
32245.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
34799.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
36375.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
38420.sol,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1
40739.sol,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1
37859.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
37881.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
37617.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
31624.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
33713.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
40295.sol,1,1,0,0,1,1,0,0,0,1,1,0,1,0,1
40618.sol,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1
33921.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
37088.sol,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1
37744.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34598.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
34110.sol,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1
33980.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
44859.sol,1,1,1,0,0,1,0,0,0,1,1,0,1,1,1
33624.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
33206.sol,1,1,1,0,1,1,0,0,0,1,0,0,1,1,1
32470.sol,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1
